"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2023","EQ","1,326.60","1,335.75","1,320.40","1,326.60","1,330.00","1,329.70","1,328.05","1,336.00","1,011.50","15,35,630","2,03,93,90,224.10","93,354"
"21-Nov-2023","EQ","1,335.60","1,336.00","1,321.80","1,325.40","1,326.05","1,326.60","1,327.78","1,336.00","1,011.50","15,14,256","2,01,06,03,670.60","98,808"
"20-Nov-2023","EQ","1,314.95","1,331.70","1,314.00","1,309.15","1,322.85","1,325.40","1,325.34","1,331.70","1,011.50","28,31,858","3,75,31,71,398.75","1,65,908"
"17-Nov-2023","EQ","1,313.40","1,325.75","1,306.40","1,311.05","1,308.00","1,309.15","1,315.72","1,325.75","1,011.50","28,82,039","3,79,19,46,118.05","1,45,369"
"16-Nov-2023","EQ","1,283.80","1,317.95","1,278.00","1,276.65","1,313.00","1,311.05","1,300.47","1,317.95","1,011.50","39,36,945","5,11,98,67,315.85","1,91,509"
"15-Nov-2023","EQ","1,275.00","1,283.00","1,268.40","1,261.00","1,278.20","1,276.65","1,275.67","1,311.30","1,011.50","24,10,620","3,07,51,44,612.80","1,52,539"
"13-Nov-2023","EQ","1,260.00","1,263.60","1,253.30","1,260.20","1,261.00","1,261.00","1,257.67","1,311.30","1,011.50","7,30,991","91,93,45,878.10","75,634"
"12-Nov-2023","EQ","1,265.00","1,265.45","1,256.35","1,255.45","1,260.10","1,260.20","1,260.36","1,311.30","1,011.50","1,32,650","16,71,87,230.75","10,864"
"10-Nov-2023","EQ","1,262.30","1,271.00","1,250.65","1,267.50","1,256.00","1,255.45","1,256.56","1,311.30","1,011.50","14,69,902","1,84,70,16,185.90","80,555"
"09-Nov-2023","EQ","1,267.65","1,275.80","1,261.80","1,267.65","1,267.00","1,267.50","1,269.05","1,311.30","1,011.50","14,83,749","1,88,29,56,322.45","92,394"
"08-Nov-2023","EQ","1,280.00","1,280.80","1,265.90","1,273.95","1,267.50","1,267.65","1,271.91","1,311.30","1,011.50","9,37,671","1,19,26,33,390.65","57,290"
"07-Nov-2023","EQ","1,269.00","1,277.70","1,267.10","1,269.70","1,275.00","1,273.95","1,272.87","1,311.30","1,011.50","13,85,282","1,76,32,83,816.90","86,178"
"06-Nov-2023","EQ","1,276.25","1,279.50","1,265.15","1,266.25","1,269.40","1,269.70","1,270.01","1,311.30","1,011.50","11,75,823","1,49,33,04,060.30","86,769"
"03-Nov-2023","EQ","1,282.60","1,287.30","1,263.00","1,273.40","1,266.00","1,266.25","1,272.37","1,311.30","1,011.50","20,52,536","2,61,15,79,530.40","1,16,787"
"02-Nov-2023","EQ","1,266.00","1,275.00","1,265.00","1,258.95","1,273.50","1,273.40","1,271.47","1,311.30","1,011.50","13,68,604","1,74,01,36,004.40","1,12,504"
"01-Nov-2023","EQ","1,280.00","1,285.95","1,255.30","1,276.00","1,257.80","1,258.95","1,270.88","1,311.30","1,011.50","15,72,719","1,99,87,38,737.00","1,04,541"
"31-Oct-2023","EQ","1,272.00","1,279.85","1,256.70","1,264.75","1,275.50","1,276.00","1,272.06","1,311.30","1,011.50","25,25,870","3,21,30,53,147.20","1,37,978"
"30-Oct-2023","EQ","1,270.00","1,274.80","1,256.00","1,268.70","1,262.10","1,264.75","1,264.57","1,311.30","1,011.50","11,58,770","1,46,53,44,795.80","94,026"
"27-Oct-2023","EQ","1,237.00","1,270.00","1,233.45","1,231.80","1,267.50","1,268.70","1,258.10","1,311.30","1,011.50","26,75,348","3,36,58,45,997.10","1,24,996"
"26-Oct-2023","EQ","1,215.00","1,238.20","1,212.05","1,229.00","1,230.85","1,231.80","1,231.27","1,311.30","1,011.50","46,17,424","5,68,53,14,389.85","2,74,640"
"25-Oct-2023","EQ","1,231.20","1,252.90","1,225.30","1,236.65","1,230.00","1,229.00","1,236.54","1,311.30","1,011.50","14,20,065","1,75,59,65,935.70","93,077"
"23-Oct-2023","EQ","1,248.00","1,260.50","1,232.30","1,258.60","1,234.95","1,236.65","1,248.93","1,311.30","1,011.50","16,46,367","2,05,61,98,621.10","95,597"
