"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2023","EQ","1,520.00","1,520.00","1,503.55","1,517.95","1,512.90","1,512.55","1,513.24","1,757.50","1,460.25","1,45,61,825","22,03,55,95,098.85","2,61,084"
"21-Nov-2023","EQ","1,519.00","1,522.00","1,512.10","1,505.20","1,518.25","1,517.95","1,517.79","1,757.50","1,460.25","1,24,79,986","18,94,19,39,824.75","2,91,918"
"20-Nov-2023","EQ","1,513.00","1,513.00","1,501.55","1,505.10","1,505.90","1,505.20","1,505.46","1,757.50","1,460.25","96,65,726","14,55,13,79,677.65","2,00,480"
"17-Nov-2023","EQ","1,490.00","1,507.50","1,489.00","1,508.35","1,505.00","1,505.10","1,502.48","1,757.50","1,460.25","1,18,50,937","17,80,58,35,559.30","2,98,602"
"16-Nov-2023","EQ","1,509.70","1,519.00","1,503.75","1,504.40","1,508.00","1,508.35","1,511.01","1,757.50","1,460.25","1,48,56,919","22,44,90,02,896.90","2,70,257"
"15-Nov-2023","EQ","1,504.10","1,510.95","1,500.55","1,488.80","1,504.80","1,504.40","1,505.70","1,757.50","1,460.25","2,06,22,730","31,05,15,66,881.50","3,31,586"
"13-Nov-2023","EQ","1,492.10","1,495.95","1,485.90","1,500.00","1,489.00","1,488.80","1,490.72","1,757.50","1,460.25","1,03,02,957","15,35,88,48,457.45","3,18,892"
"12-Nov-2023","EQ","1,500.00","1,502.00","1,496.15","1,491.50","1,499.00","1,500.00","1,499.50","1,757.50","1,460.25","19,75,463","2,96,22,07,492.65","85,801"
"10-Nov-2023","EQ","1,480.10","1,496.00","1,480.05","1,485.65","1,495.00","1,491.50","1,486.67","1,757.50","1,460.25","70,07,593","10,41,79,71,067.75","1,81,055"
"09-Nov-2023","EQ","1,486.00","1,492.60","1,483.50","1,491.55","1,486.50","1,485.65","1,487.69","1,757.50","1,460.25","1,10,58,370","16,45,14,04,289.60","2,81,527"
"08-Nov-2023","EQ","1,483.95","1,493.45","1,481.00","1,487.25","1,491.80","1,491.55","1,489.03","1,757.50","1,460.25","1,56,99,773","23,37,74,06,572.30","4,99,216"
"07-Nov-2023","EQ","1,494.00","1,494.00","1,477.20","1,494.50","1,490.00","1,487.25","1,484.48","1,757.50","1,460.25","2,09,76,424","31,13,90,51,244.05","5,85,794"
"06-Nov-2023","EQ","1,498.00","1,498.00","1,483.00","1,483.75","1,493.80","1,494.50","1,488.25","1,757.50","1,460.25","1,27,96,865","19,04,49,45,751.70","3,86,836"
"03-Nov-2023","EQ","1,488.00","1,491.40","1,481.65","1,476.75","1,484.50","1,483.75","1,487.25","1,757.50","1,460.25","90,47,670","13,45,61,52,900.70","2,26,806"
"02-Nov-2023","EQ","1,485.00","1,490.50","1,467.15","1,474.50","1,478.70","1,476.75","1,472.27","1,757.50","1,460.25","2,26,12,577","33,29,18,73,290.70","2,60,964"
"01-Nov-2023","EQ","1,462.25","1,477.45","1,462.25","1,476.50","1,477.00","1,474.50","1,469.20","1,757.50","1,460.25","1,69,38,733","24,88,64,25,534.80","3,40,052"
"31-Oct-2023","EQ","1,504.00","1,504.00","1,474.00","1,485.10","1,475.00","1,476.50","1,482.03","1,757.50","1,460.25","1,63,17,412","24,18,28,40,370.90","4,22,644"
"30-Oct-2023","EQ","1,463.25","1,489.95","1,461.90","1,469.15","1,487.85","1,485.10","1,479.49","1,757.50","1,460.25","1,16,55,491","17,24,41,38,134.55","2,69,734"
"27-Oct-2023","EQ","1,469.50","1,478.00","1,466.90","1,463.40","1,472.55","1,469.15","1,470.94","1,757.50","1,445.00","1,59,70,266","23,49,13,78,766.10","2,83,464"
"26-Oct-2023","EQ","1,491.25","1,492.00","1,460.25","1,496.50","1,462.45","1,463.40","1,469.55","1,757.50","1,445.00","2,77,80,899","40,82,54,80,054.70","6,24,140"
"25-Oct-2023","EQ","1,521.00","1,522.80","1,491.45","1,506.05","1,494.20","1,496.50","1,505.86","1,757.50","1,445.00","1,41,55,998","21,31,69,45,153.10","3,72,043"
"23-Oct-2023","EQ","1,523.50","1,528.75","1,500.10","1,522.80","1,507.00","1,506.05","1,520.08","1,757.50","1,445.00","1,11,88,068","17,00,67,38,603.70","2,49,005"
