"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2023","EQ","3,500.00","3,532.65","3,481.10","3,510.20","3,530.50","3,530.15","3,510.71","3,679.00","3,070.25","17,98,051","6,31,24,27,531.70","1,21,170"
"21-Nov-2023","EQ","3,519.60","3,539.05","3,501.00","3,519.60","3,510.00","3,510.20","3,525.61","3,679.00","3,070.25","18,07,236","6,37,16,10,015.95","1,41,954"
"20-Nov-2023","EQ","3,491.25","3,533.90","3,491.25","3,502.45","3,520.00","3,519.60","3,518.20","3,679.00","3,070.25","14,75,621","5,19,15,24,462.85","1,33,758"
"17-Nov-2023","EQ","3,497.85","3,524.50","3,492.55","3,497.85","3,499.00","3,502.45","3,510.08","3,679.00","3,070.25","20,21,292","7,09,48,91,279.55","1,59,877"
"16-Nov-2023","EQ","3,430.05","3,529.35","3,414.20","3,404.30","3,497.00","3,497.85","3,484.46","3,679.00","3,070.25","39,51,984","13,77,05,16,229.10","2,56,300"
"15-Nov-2023","EQ","3,383.10","3,413.00","3,356.05","3,331.55","3,408.60","3,404.30","3,390.15","3,679.00","3,070.25","20,59,802","6,98,30,37,380.85","1,17,652"
"13-Nov-2023","EQ","3,356.00","3,356.00","3,327.00","3,357.30","3,332.00","3,331.55","3,333.43","3,679.00","3,070.25","10,30,990","3,43,67,31,318.90","92,128"
"12-Nov-2023","EQ","3,350.00","3,359.00","3,345.00","3,333.45","3,358.90","3,357.30","3,355.70","3,679.00","3,070.25","1,73,346","58,16,97,254.35","22,226"
"10-Nov-2023","EQ","3,338.00","3,347.45","3,322.35","3,347.45","3,341.00","3,333.45","3,331.70","3,679.00","3,070.25","13,38,557","4,45,96,65,543.60","93,667"
"09-Nov-2023","EQ","3,390.10","3,391.50","3,342.05","3,381.55","3,350.00","3,347.45","3,363.59","3,679.00","3,070.25","21,12,352","7,10,50,80,612.55","1,46,431"
"08-Nov-2023","EQ","3,371.45","3,401.95","3,369.55","3,370.45","3,382.65","3,381.55","3,387.91","3,679.00","3,070.25","9,92,899","3,36,38,52,490.70","91,615"
"07-Nov-2023","EQ","3,378.00","3,404.15","3,366.00","3,380.25","3,371.55","3,370.45","3,378.26","3,679.00","3,070.25","11,91,144","4,02,39,94,967.20","82,322"
"06-Nov-2023","EQ","3,375.00","3,392.30","3,359.00","3,350.90","3,385.00","3,380.25","3,374.03","3,679.00","3,070.25","10,99,852","3,71,09,28,578.40","69,041"
"03-Nov-2023","EQ","3,382.00","3,387.90","3,344.30","3,360.10","3,351.00","3,350.90","3,362.79","3,679.00","3,070.25","14,02,598","4,71,66,46,465.75","1,11,516"
"02-Nov-2023","EQ","3,343.20","3,375.95","3,343.20","3,330.65","3,363.00","3,360.10","3,363.98","3,679.00","3,070.25","12,45,384","4,18,94,48,412.50","97,073"
"01-Nov-2023","EQ","3,355.00","3,371.60","3,311.00","3,368.75","3,311.40","3,330.65","3,347.22","3,679.00","3,070.25","15,63,475","5,23,32,96,947.80","1,12,623"
"31-Oct-2023","EQ","3,399.00","3,399.00","3,350.05","3,378.55","3,371.80","3,368.75","3,368.00","3,679.00","3,070.25","9,99,811","3,36,73,64,685.15","1,09,355"
"30-Oct-2023","EQ","3,350.00","3,382.85","3,333.75","3,350.95","3,381.00","3,378.55","3,368.57","3,679.00","3,070.25","9,10,972","3,06,86,72,170.25","74,251"
"27-Oct-2023","EQ","3,350.00","3,362.00","3,337.00","3,336.75","3,350.00","3,350.95","3,351.03","3,679.00","3,070.25","11,08,851","3,71,57,95,757.45","1,12,673"
"26-Oct-2023","EQ","3,368.05","3,373.70","3,330.00","3,390.10","3,331.80","3,336.75","3,346.35","3,679.00","3,070.25","19,84,471","6,64,07,34,038.60","2,03,800"
"25-Oct-2023","EQ","3,390.50","3,425.00","3,377.20","3,410.15","3,390.55","3,390.10","3,398.15","3,679.00","3,070.25","15,18,537","5,16,02,13,346.45","1,33,032"
"23-Oct-2023","EQ","3,473.00","3,478.95","3,401.30","3,494.55","3,409.15","3,410.15","3,442.60","3,679.00","3,070.25","11,06,272","3,80,84,55,848.35","1,26,787"
